#vol,heure,X,y,modec,modea
28,00:00:48.890,212.97,197.72,130,1123
28,00:03:04.950,215.47,201.44,130,1123
28,00:03:45.320,213.17,203.38,130,1123
28,00:06:03.770,212.69,198.06,130,1123
28,00:06:45.900,214.78,196.14,130,1123
28,00:09:10.770,213.17,203.47,130,1123
28,00:09:46.560,210.66,203.5,130,1123
28,00:12:09.890,215.64,198.28,130,1123
28,00:12:43.070,217.47,199.41,131,1123
28,00:15:01.280,223.78,208.5,131,1123
28,00:15:43.550,225.67,211.31,141,1123
28,00:18:05.910,232.55,221.19,180,1123
28,00:18:44.010,234.39,224.03,188,1123
28,00:21:01.610,241.36,234.16,212,1123
28,00:21:40.330,243.38,237.22,217,1123
28,00:24:01.550,250.95,248.22,230,1123
28,00:24:40.840,253.09,251.44,230,1123
28,00:27:38.370,263.19,266.33,231,1123
28,00:30:38.950,273.66,281.86,230,1123
29,00:00:48.890,217.42,199.8,141,4113
29,00:03:04.950,208.98,202.45,141,4113
29,00:03:45.320,210.22,199.7,141,4113
29,00:06:11.770,218.09,198.69,141,4113
29,00:06:45.900,216.38,200.7,142,4113
29,00:09:10.770,209.38,200.33,141,4113
29,00:09:46.560,211.39,198.7,141,4113
29,00:12:09.890,217.53,200.06,141,4113
29,00:12:43.070,215.36,201.61,141,4113
29,00:15:01.280,209.67,199.5,141,4113
29,00:15:43.550,212.39,197.95,141,4113
29,00:18:05.910,216.31,200.78,133,4113
29,00:18:44.010,214.05,202.66,131,4113
29,00:21:01.600,211.56,198.77,131,4113
29,00:21:40.330,213.92,197.31,131,4113
29,00:24:05.600,214.92,202.03,131,4113
29,00:24:40.840,212.66,203.94,131,4113
29,00:27:01.420,212.44,197.53,131,4113
29,00:27:38.350,214.59,195.94,131,4113
29,00:29:57.340,214.61,202.12,131,4113
29,00:30:38.940,211.91,204.06,130,4113
29,00:32:57.340,212.94,197.08,131,4113
29,00:33:39.420,215.55,195.41,130,4113
29,00:35:57.360,213.84,202.91,131,4113
29,00:36:35.730,211.11,204.06,131,4113
29,00:38:53.550,214.06,199.86,131,4113
29,00:39:36.160,216.17,202.61,131,4113
29,00:41:53.520,223.67,215,154,4113
29,00:42:36.520,225.86,216.17,169,4113
29,00:44:54.010,233.09,226.27,209,4113
29,00:45:33.030,235.08,229.22,218,4113
29,00:47:54.200,243.06,240.3,231,4113
29,00:48:33.470,245.22,243.45,231,4113
29,00:50:51.550,252.97,254.44,231,4113
29,00:51:33.990,255.39,257.89,231,4113
29,00:54:30.520,265.38,271.94,231,4113
29,00:57:30.920,275.55,286.31,231,4113
30,00:00:48.890,212.47,196.03,160,5765
30,00:03:12.950,216.33,200.62,160,5765
30,00:03:45.320,214.22,202.56,160,5765
30,00:06:11.770,210.33,197.61,160,5765
30,00:06:45.900,212.45,195.95,160,5765
30,00:09:10.770,216.45,200.86,160,5765
30,00:09:46.560,213.91,202.83,160,5765
30,00:12:09.890,210.58,197.42,160,5765
30,00:12:43.070,212.64,195.89,160,5765
30,00:15:09.280,215.94,200.97,160,5765
30,00:15:43.550,213.77,202.92,160,5765
30,00:18:05.910,210.88,197.61,160,5765
30,00:18:44.010,213.28,195.89,160,5765
30,00:21:09.690,215.27,201.48,156,5765
30,00:21:40.330,213.31,203.28,151,5765
30,00:24:05.600,211.83,197.36,150,5765
30,00:24:40.840,213.8,195.89,150,5765
30,00:27:05.460,214.77,202.11,150,5765
30,00:27:38.350,212.8,203.7,149,5765
30,00:30:05.230,213.47,197.17,150,5765
30,00:30:38.940,215.45,196.06,149,5765
30,00:32:57.340,213.2,203.47,150,5765
30,00:33:39.420,210.11,203.33,150,5765
30,00:35:57.360,217,195.97,150,5765
30,00:36:35.730,217.3,196.98,150,5765
30,00:38:53.550,211.38,204.22,150,5765
30,00:39:36.160,209.66,201.36,150,5765
30,00:41:53.520,217.09,196.7,150,5765
30,00:42:36.520,216.98,199.84,150,5765
30,00:44:54.010,209.09,201.5,150,5765
30,00:45:33.020,210.56,199.05,149,5765
30,00:47:54.200,217.2,198.66,140,5765
30,00:48:33.460,215.59,201.11,140,5765
30,00:50:51.550,210.09,199.75,140,5765
30,00:51:33.980,212.52,197.89,140,5765
30,00:53:52.290,216.2,202.05,141,5765
30,00:54:30.510,214.44,204.84,141,5765
30,00:56:52.730,208.83,215.06,132,5765
30,00:57:30.910,207.23,217.83,126,5765
30,00:59:49.010,202.02,227.33,98,5765
30,01:00:27.310,200.5,229.97,91,5765
30,01:02:49.530,195.19,239.2,63,5765
30,01:03:27.810,193.25,241.05,54,5765
30,01:05:49.770,184.77,245.11,27,5765
30,01:06:28.150,182.48,245.31,24,5765
30,01:08:45.970,175.42,242.44,13,5765
30,01:09:25.590,174.23,241.81,8,5765
41,00:00:52.890,214.66,202.16,150,4029
41,00:03:12.950,210.23,199.02,150,4029
41,00:03:53.340,212.66,197.34,150,4029
41,00:06:11.770,216.42,200.62,150,4029
41,00:06:45.900,214.39,202.3,150,4029
41,00:09:10.770,211.14,198.64,150,4029
41,00:09:46.560,213.23,197.36,150,4029
41,00:12:09.890,215.34,201.5,150,4029
41,00:12:43.070,213.47,203.09,150,4029
41,00:15:09.280,212.38,198.11,150,4029
