Month	ScheduledOperator	CountryToFrom	PassengersIn	FreightIn	MailIn	PassengersOut	FreightOut	MailOut	Year
38078	Aerolineas Argentinas	Argentina	1280	7.7	0.6	1416	12.4	0	2004
38078	Aerolineas Argentinas	New Zealand	175	31.5	0	179	44.8	0	2004
38078	Air Caledonie	New Caledonia	3031	1.8	0.4	2962	55	1.3	2004
38078	Air Canada	Canada	2335	1.8	0.5	3738	4.3	0	2004
38078	Air Canada	USA	1675	194.8	19.8	2033	276.1	0.2	2004
38078	Air China	China	5612	119.7	3.2	5608	77.4	0	2004
38078	Air Mauritius	Mauritius	1686	39.7	0.3	1392	63.2	0	2004
38078	Air Nauru	Nauru	444	0.9	0.4	367	13.1	0.5	2004
38078	Air Nauru	Solomon Islands	256	0	0	158	0	0	2004
38078	Air New Zealand	New Zealand	67536	995.8	153.2	66358	950.6	5.6	2004
38078	Air Niugini	Papua New Guinea	5366	174.7	1.3	5435	226	20.3	2004
38078	Air Pacific	Fiji	15988	311.5	1.6	16223	315.8	14.7	2004
38078	Air Paradise International	Indonesia	8489	53.8	0	8079	6.3	0	2004
38078	Air Vanuatu	Vanuatu	2427	7.5	2.8	2380	28.3	3.8	2004
38078	Asian Express Airlines	New Zealand	0	266.3	0	0	312.1	0	2004
38078	Asiana Airlines	Korea	5329	250.4	7.3	5144	265.6	0	2004
38078	Australian Airlines	Hong Kong	2014	79.1	0	1988	129.4	0	2004
38078	Australian Airlines	Indonesia	4464	28	0	4601	11.4	0	2004
38078	Australian Airlines	Japan	14573	109.7	7.1	14114	256.4	0	2004
38078	Australian Airlines	Malaysia	1369	38.7	0	1365	16.4	0	2004
38078	Australian Airlines	Singapore	2417	111.7	0	3050	24.2	0.6	2004
38078	British Airways	Singapore	5554	121.7	0	6212	269.1	0	2004
38078	British Airways	Thailand	5395	57.8	0	7131	80.5	0	2004
38078	British Airways	UK	10400	490.7	0	11812	107.3	0	2004
38078	Cargolux Airlines Intl	Luxembourg	0	286.9	0	0	0	0	2004
38078	Cargolux Airlines Intl	Malaysia	0	0	0	0	0	0	2004
38078	Cargolux Airlines Intl	New Zealand	0	0	0	0	455.2	0	2004
38078	Cathay Pacific Airways	Hong Kong	27583	2600.4	33.5	27913	2249.7	5.9	2004
38078	China Airlines	Taiwan	5025	183	4.7	4522	50	0	2004
38078	China Eastern Airlines	China	4477	301.4	0	3273	22.6	0	2004
38078	China Southern Airlines	China	3044	161.4	3.2	2725	26.1	0	2004
38078	Continental Micronesia	Guam	1040	0	0	1226	2.8	0	2004
38078	Emirates	New Zealand	11959	1044.6	0	11327	848.7	0.6	2004
38078	Emirates	Singapore	2298	144.2	1.2	2100	235.9	0	2004
38078	Emirates	United Arab Emirates	16431	507.9	9.2	26009	876.9	0	2004
38078	Eva Air	Taiwan	3006	160.1	4.5	2281	118.7	0	2004
38078	Federal Express Corporation	Philippines	0	0	0	0	597.3	0	2004
38078	Federal Express Corporation	USA	0	1071.1	0.3	0	0	0	2004
38078	Freedom Air International	New Zealand	21730	0	0	20979	0	0	2004
38078	Garuda Indonesia	Indonesia	12588	337.8	1.3	12082	225.9	0	2004
38078	Garuda Indonesia	New Zealand	666	69.1	0	464	7.2	0	2004
38078	Gulf Air	Bahrain	3165	82.3	1.9	3675	102.6	2.9	2004
38078	Gulf Air	Singapore	970	126.7	4.8	669	157.2	0	2004
