type_cepage,surface_ha,wine_surface_proportion,year
ALICANTE_H.BOUS.N,6.262,0.7,2006
ALIGOTE_B,1.929,0.2,2006
ARAMON_N,3.735,0.4,2006
AUBUN_N,784,0.1,2006
AUXERROIS_B,2.264,0.3,2006
BACO_BLANC_B,893,0.1,2006
BOURBOULENC_B,636,0.1,2006
CABER.SAUVIGNON_N,58.940,6.7,2006
CABERNET_FRANC_N,37.959,4.3,2006
CALADOC_N,2.356,0.3,2006
CARIGNAN_B,512,0.1,2006
CARIGNAN_N,64.500,7.4,2006
CHAMBOURCIN_N,871,0.1,2006
CHARDONNAY_B,43.112,4.9,2006
CHASAN_B,894,0.1,2006
CHASSELAS_B,717,0.1,2006
CHENANSON_N,565,0.1,2006
CHENIN_B,9.781,1.1,2006
CINSAULT_N,23.347,2.7,2006
CLAIRETTE_B,2.531,0.3,2006
COLOMBARD_B,7.693,0.9,2006
COT_N,6.394,0.7,2006
COUNOISE_N,485,0.1,2006
DURAS_N,998,0.1,2006
FER_N,1.658,0.2,2006
FOLLE_BLANCHE_B,1.879,0.2,2006
GAMAY_N,33.064,3.8,2006
GEWURZTRAMINER_RS,2.989,0.3,2006
GR.MANSENG_BLANC_B,2.869,0.3,2006
GRENACHE_B,5.131,0.6,2006
GRENACHE_G,1.806,0.2,2006
GRENACHE_N,98.191,11.2,2006
GROLLEAU_G,463,0.1,2006
GROLLEAU_N,2.390,0.3,2006
HYBRID.DIV.CUVE,5.151,0.6,2006
Inconnu,827,0.1,2006
JACQUERE_B,1.064,0.1,2006
JURANCON_NOIR_N,873,0.1,2006
LEN_DE_L'EL_B,677,0.1,2006
LLEDONER_PELUT_N,481,0.1,2006
MACABEU_B,2.965,0.3,2006
MARSANNE_B,1.295,0.1,2006
MARSELAN,1.997,0.2,2006
MAUZAC_B,2.232,0.3,2006
MELON_B,12.531,1.4,2006
MERLOT_N,117.299,13.4,2006
MEUNIER_N,11.071,1.3,2006
MOURVEDRE_N,9.533,1.1,2006
MUSC.PTS.GRAINS_B,7.501,0.9,2006
MUSCADELLE_B,1.657,0.2,2006
MUSCAT_ALEXANDR._B,2.712,0.3,2006
MUSCAT_HAMBOURG_N,584,0.1,2006
NEGRETTE_N,1.424,0.2,2006
NIELLUCCIO_N,1.647,0.2,2006
PETIT_VERDOT_N,799,0.1,2006
PINEAU_D'AUNIS_N,445,0.1,2006
PINOT_BLANC_B,1.238,0.1,2006
PINOT_GRIS_G,2.518,0.3,2006
PINOT_N,28.861,3.3,2006
PIQUEPOUL_B,1.390,0.2,2006
PLANTET_N,1.253,0.1,2006
PT.MANSENG_B,961,0.1,2006
RIESLING_B,3.455,0.4,2006
ROUSSANNE_B,1.233,0.1,2006
SAUVIGNON_B,25.311,2.9,2006
SAVAGNIN_BLANC_B,458,0.1,2006
SCIACCARELLO_N,768,0.1,2006
SEMILLON_B,12.122,1.4,2006
SYLVANER_B,1.501,0.2,2006
SYRAH_N,69.698,8.0,2006
TANNAT_N,3.065,0.4,2006
TEMPRANILLO_N,973,0.1,2006
TERRET_B,1.725,0.2,2006
TIBOUREN_N,441,0.1,2006
UGNI_B,83.238,9.5,2006
VERMENTINO_B,3.315,0.4,2006
VILLARD_N,1.488,0.2,2006
VINIFS._CUVE,2.263,0.3,2006
VIOGNIER_B,3.744,0.4,2006
AUTRES,9.888,1.1,2006
ALICANTE_H.BOUS.N,5509,0.6,2007
ALIGOTE_B,1924,0.2,2007
ARAMON_N,3165,0.4,2007
AUBUN_N,690,0.1,2007
AUXERROIS_B,2267,0.3,2007
BACO_BLANC_B,829,0.1,2007
BOURBOULENC_B,611,0.1,2007
CABER.SAUVIGNON_N,57481,6.7,2007
CABERNET_FRANC_N,37244,4.3,2007
CALADOC_N,2435,0.3,2007
CARIGNAN_B,451,0.1,2007
CARIGNAN_N,57883,6.8,2007
CHAMBOURCIN_N,782,0.1,2007
CHARDONNAY_B,43671,5.1,2007
CHASAN_B,847,0.1,2007
CHASSELAS_B,677,0.1,2007
CHENANSON_N,537,0.1,2007
CHENIN_B,9764,1.1,2007
CINSAULT_N,21898,2.6,2007
CLAIRETTE_B,2484,0.3,2007
COLOMBARD_B,7674,0.9,2007
COT_N,6220,0.7,2007
COUNOISE_N,464,0.1,2007
DURAS_N,939,0.1,2007
FER_N,1618,0.2,2007
FOLLE_BLANCHE_B,1831,0.2,2007
GAMAY_N,31356,3.7,2007
GEWURZTRAMINER_RS,3003,0.4,2007
GR.MANSENG_BLANC_B,2885,0.3,2007
GRENACHE_B,5032,0.6,2007
GRENACHE_G,1732,0.2,2007
GRENACHE_N,96295,11.2,2007
GROLLEAU_G,455,0.1,2007
GROLLEAU_N,2352,0.3,2007
HYBRID.DIV.CUVE,4818,0.6,2007
Inconnu,775,0.1,2007
JACQUERE_B,1046,0.1,2007
JURANCON_NOIR_N,773,0.1,2007
LEN_DE_L'EL_B,649,0.1,2007
LLEDONER_PELUT_N,455,0.1,2007
MACABEU_B,2742,0.3,2007
MARSANNE_B,1317,0.2,2007
MARSELAN,2213,0.3,2007
MAUZAC_B,2065,0.2,2007
MELON_B,12424,1.5,2007
MERLOT_N,116482,13.6,2007
MEUNIER_N,11333,1.3,2007
MOURVEDRE_N,9418,1.1,2007
MUSC.PTS.GRAINS_B,7567,0.9,2007
MUSCADELLE_B,1612,0.2,2007
MUSCAT_ALEXANDR._B,2619,0.3,2007
MUSCAT_HAMBOURG_N,591,0.1,2007
NEGRETTE_N,1282,0.1,2007
NIELLUCCIO_N,1635,0.2,2007
PETIT_VERDOT_N,831,0.1,2007
PINEAU_D'AUNIS_N,435,0.1,2007
PINOT_BLANC_B,1291,0.2,2007
PINOT_GRIS_G,2541,0.3,2007
PINOT_N,29459,3.4,2007
PIQUEPOUL_B,1421,0.2,2007
PLANTET_N,1141,0.1,2007
PT.MANSENG_B,989,0.1,2007
RIESLING_B,3447,0.4,2007
ROUSSANNE_B,1285,0.1,2007
SAUVIGNON_B,25835,3.0,2007
SAUVIGNON_GRIS_G,420,0.0,2007
SAVAGNIN_BLANC_B,462,0.1,2007
SCIACCARELLO_N,781,0.1,2007
SEMILLON_B,11839,1.4,2007
SYLVANER_B,1418,0.2,2007
SYRAH_N,69202,8.1,2007
TANNAT_N,2956,0.3,2007
TEMPRANILLO_N,850,0.1,2007
TERRET_B,1556,0.2,2007
TIBOUREN_N,440,0.1,2007
UGNI_B,83316,9.7,2007
VERMENTINO_B,3417,0.4,2007
VILLARD_N,1354,0.2,2007
VINIFS._CUVE,2093,0.2,2007
VIOGNIER_B,4081,0.5,2007
AUTRES,8970,1.0,2007
ALICANTE_H.BOUS.N,4816,0.6,2008
ALIGOTE_B,1927,0.2,2008
ARAMON_N,2790,0.3,2008
AUBUN_N,626,0.1,2008
AUXERROIS_B,2282,0.3,2008
BACO_BLANC_B,770,0.1,2008
BOURBOULENC_B,587,0.1,2008
CABER.SAUVIGNON_N,55812,6.7,2008
CABERNET_FRANC_N,36690,4.4,2008
CALADOC_N,2432,0.3,2008
CARIGNAN_B,408,0.0,2008
CARIGNAN_N,52175,6.2,2008
CHAMBOURCIN_N,748,0.1,2008
CHARDONNAY_B,44253,5.3,2008
CHASAN_B,791,0.1,2008
CHASSELAS_B,651,0.1,2008
CHENANSON_N,498,0.1,2008
CHENIN_B,9782,1.2,2008
CINSAULT_N,20425,2.4,2008
CLAIRETTE_B,2369,0.3,2008
COLOMBARD_B,7732,0.9,2008
COT_N,6119,0.7,2008
COUNOISE_N,437,0.1,2008
DURAS_N,917,0.1,2008
FER_N,1593,0.2,2008
FOLLE_BLANCHE_B,1762,0.2,2008
GAMAY_N,30286,3.6,2008
GEWURZTRAMINER_RS,3037,0.4,2008
GR.MANSENG_BLANC_B,2896,0.3,2008
GRENACHE_B,4931,0.6,2008
GRENACHE_G,1683,0.2,2008
GRENACHE_N,93228,11.1,2008
GROLLEAU_G,452,0.1,2008
GROLLEAU_N,2337,0.3,2008
HYBRID.DIV.CUVE,4639,0.6,2008
Inconnu,741,0.1,2008
JACQUERE_B,1024,0.1,2008
JURANCON_NOIR_N,699,0.1,2008
LEN_DE_L'EL_B,642,0.1,2008
LLEDONER_PELUT_N,425,0.1,2008
MACABEU_B,2584,0.3,2008
MARSANNE_B,1327,0.2,2008
MARSELAN,2329,0.3,2008
MAUZAC_B,1978,0.2,2008
MELON_B,12341,1.5,2008
MERLOT_N,115296,13.7,2008
MEUNIER_N,11087,1.3,2008
MOURVEDRE_N,9275,1.1,2008
MUSC.PTS.GRAINS_B,7547,0.9,2008
MUSCADELLE_B,1589,0.2,2008
MUSCAT_ALEXANDR._B,2572,0.3,2008
MUSCAT_HAMBOURG_N,573,0.1,2008
NEGRETTE_N,1213,0.1,2008
NIELLUCCIO_N,1510,0.2,2008
PETIT_VERDOT_N,867,0.1,2008
PINEAU_D'AUNIS_N,437,0.1,2008
PINOT_BLANC_B,1285,0.2,2008
PINOT_GRIS_G,2570,0.3,2008
PINOT_N,29602,3.5,2008
PIQUEPOUL_B,1455,0.2,2008
PLANTET_N,1092,0.1,2008
PT.MANSENG_B,1019,0.1,2008
RIESLING_B,3461,0.4,2008
ROUSSANNE_B,1336,0.2,2008
SAUVIGNON_B,26476,3.2,2008
SAUVIGNON_GRIS_G,478,0.1,2008
SAVAGNIN_BLANC_B,467,0.1,2008
SCIACCARELLO_N,752,0.1,2008
SEMILLON_B,11671,1.4,2008
SYLVANER_B,1381,0.2,2008
SYRAH_N,67834,8.1,2008
TANNAT_N,2873,0.3,2008
TEMPRANILLO_N,755,0.1,2008
