fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type,tS1,tS2,tS3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,White,18.31762168,16.81872184,-6.578620498,-3.320115622,-2.293394418,-0.091376185,0.182307084,-2.073579412,0.319688661,0.032900726,-0.128592216,0.274946581,0.120242914,0.115782201
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,White,15.62851604,-16.20408265,15.81158783,0.349068961,0.17845722,0.127398314,-0.276169955,0.22779004,-0.86076131,-0.785146503,-0.119644925,-0.675124677,-0.846248153,0.053489383
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,White,-23.49605328,-13.65594673,-8.5030231,-0.397253581,0.045246637,-0.12649971,-0.140505252,-0.40247753,-0.635963411,-0.406337648,0.483009462,-0.11438494,0.263378931,0.219735991
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,White,6.573099464,3.885523243,7.701178323,-1.887282114,-0.186371725,0.412144287,0.243264597,0.140293004,0.225756518,-0.566644833,0.353659191,0.065343877,-0.223634449,-0.243591088
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,White,6.573086777,3.885529702,7.701241859,-1.887282114,-0.186371725,0.412144287,0.243264597,0.140293004,0.225756518,-0.566644833,0.353659191,0.065343877,-0.223634449,-0.243591088
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,White,-23.49603052,-13.65576344,-8.503032912,-0.397253581,0.045246637,-0.12649971,-0.140505252,-0.40247753,-0.635963411,-0.406337648,0.483009462,-0.11438494,0.263378931,0.219735991
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,White,16.61896269,-16.67203813,-3.031728181,-0.483951467,-0.202252713,0.958735519,-0.02180141,-0.44764359,0.312667169,-0.629987014,-0.62775546,-0.135366223,-0.264351797,0.056469102
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,White,18.3171951,16.81876783,-6.578617754,-3.320115622,-2.293394418,-0.091376185,0.182307084,-2.073579412,0.319688661,0.032900726,-0.128592216,0.274946581,0.120242914,0.115782201
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,White,15.62786932,-16.20393047,15.81196451,0.349068961,0.17845722,0.127398314,-0.276169955,0.22779004,-0.86076131,-0.785146503,-0.119644925,-0.675124677,-0.846248153,0.053489383
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,White,11.84932195,-24.78897116,-3.164892533,-0.273109663,1.087166922,-0.440239132,-0.404260474,0.393519244,-0.604308147,-0.212128012,0.325881014,-0.246135492,-0.129400271,-0.495979633
