Model	releaseDate	MaxResolution	MinResolution	effectivePixels	zoomWide	ZoomTele	normalFocus	macroFocus	storageIncluded	weight	dimensions	Price
Kodak DCS420	1994	1524	0	1	0	0	0	0	0	1700	170	129
Kodak DCS460	1995	3060	0	6	0	0	0	0	0	1700	170	129
Canon PowerShot 600	1996	832	640	0	50	50	40	10	1	460	160	139
Casio QV-300	1996	640	320	0	47	106	60	9	4	290	162	249
Olympus D-200L	1996	640	320	0	36	36	75	20	2	320	145	129
Olympus D-300L	1996	1024	512	0	36	36	50	20	6	320	145	1699
Agfa ePhoto 1280	1997	1024	640	0	38	114	70	40	4	420	95	179
Canon PowerShot 350	1997	640	0	0	42	42	70	3	2	320	93	149
Casio QV-700	1997	640	0	0	38	38	70	14	4	290	147	249
Epson PhotoPC 500	1997	640	320	0	43	43	60	20	2	320	142	229
Epson PhotoPC 550	1997	640	320	0	43	43	60	10	1	170	107	229
Epson PhotoPC 600	1997	1024	640	0	36	36	50	20	4	270	143	229
Fujifilm DS-300	1997	1280	640	1	35	105	20	20	0	700	153	169
Nikon Coolpix 100	1997	512	320	0	52	52	23	14	1	200	60	229
Nikon Coolpix 300	1997	640	0	0	45	45	23	14	4	250	78	229
Olympus D-500L	1997	1024	640	0	50	150	60	30	2	490	115	449
Olympus D-600L	1997	1280	640	1	36	110	60	30	4	0	115	1699
Agfa ePhoto 1680	1998	1280	640	1	38	114	50	0	4	420	158	179
Canon PowerShot A5	1998	1024	512	0	35	35	50	9	8	240	105	149
Canon PowerShot Pro70	1998	1536	768	1	28	70	32	12	8	800	148	199
Casio QV-5000SX	1998	1280	640	1	35	35	30	10	8	320	147	249
Casio QV-7000SX	1998	1280	640	1	32	64	23	10	8	320	141	249
Casio QV-770	1998	640	0	0	38	38	70	14	4	300	129	249
Epson PhotoPC 700	1998	1280	640	1	35	35	50	10	4	0	0	229
Epson PhotoPC 750 Zoom	1998	1280	640	1	34	102	80	20	8	0	0	229
Fujifilm MX-500	1998	1280	640	1	35	35	50	9	2	220	123	169
Fujifilm MX-700	1998	1280	640	1	35	35	50	9	2	260	80	169
HP Photosmart C20	1998	1152	576	1	39	39	60	20	4	300	127	179
HP Photosmart C30	1998	1152	576	1	35	35	60	20	4	300	126	179
Kodak DC200	1998	1152	640	0	39	39	70	0	4	400	131	129
Kodak DC210 plus	1998	1152	640	0	29	58	50	20	8	400	131	129
Kodak DC220	1998	1152	640	0	29	58	50	20	8	550	118	129
Kodak DC260	1998	1536	768	1	38	115	30	0	8	550	118	129
Kodak DCS315	1998	1520	0	1	0	0	0	0	0	1800	137	126
Kodak DCS520	1998	1728	0	2	0	0	0	0	0	1650	161	129
Kodak DCS560	1998	3040	0	6	0	0	0	0	0	1650	161	129
Leica Digilux	1998	1280	640	1	35	35	50	9	2	260	80	149
Nikon Coolpix 600	1998	1024	512	0	36	36	50	14	8	220	110	229
Nikon Coolpix 900	1998	1280	640	1	38	115	50	20	4	420	157	229
Nikon Coolpix 900S	1998	1280	640	1	38	115	50	20	8	420	157	229
Olympus D-340L	1998	1280	640	1	36	36	70	10	4	320	128	1699
Olympus D-400 Zoom	1998	1280	640	1	35	105	80	20	8	320	127	129
Olympus D-620L	1998	1280	640	1	36	110	60	30	8	520	115	1699
Ricoh RDC-4300	1998	1280	640	1	35	105	40	8	4	320	135	149
Sony Mavica FD-91	1998	1024	640	0	37	518	80	3	1	950	140	1399
